,companyFullName,companySize,district,financeStage,positionAdvantage,position_detail,position_name,salary,workYear
77,浙江日报报业集团,2000人以上,下城区,不需要融资,"五险一金,国企福利,最美食堂","
职位描述：

岗位职责：
职位描述：?1、能独立完成项目的系统分析和设计，并完成详细设计和编码的任务，确保项目的进度和质量；?2、确保项目相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及安全的建议；?3、能独立完成系统分析文档和详细设计文档的撰写；?4、维护和升级现有软件产品和系统，快速定位并修复现有软件缺陷；?5、能分析系统瓶颈，对系统进行性能调优；? ??
任职要求：?1、计算机相关专业，本科及以上学历；五年以上工作经验，三年以上互联网系统开发经验；?2、具有面对对象分析、设计和开发能力；??3、专业基础深厚、熟练掌握java开发，熟悉spring，hibernate，struts等开源框架；?4、熟悉tomcat等web容器，熟练使用Linux操作系统；?5、熟练使用mysql和任一nosql，以及redis或memcached的设计和研发；??6、掌握消息队列、分布式缓存等技术至少有一项能深入了解，由相关经验者优先；?7、有大数据处理系统或推荐系统经验者优先?8、具有良好的沟通、团队协作、计划和创新的能力；

",Java高级工程师,10k-20k,3-5年
78,浙江齐融金融信息服务有限公司,50-150人,西湖区,天使轮,"五险一金,周末双休,餐补,节日福利","
职位描述：

职位要求：
1.2年以上java开发经验；
2.熟悉java基础知识；
3.熟悉spring及周边开源技术；
4.熟悉mysql数据库；
5.有良好的编程经验和习惯；
6.有良好的责任心和工作态度。

",JAVA开发工程师,10k-20k,1-3年
79,杭州兰亮网络科技有限公司,50-150人,江干区,不需要融资,"产品优势大,发展空间广,福利待遇好,美女帅哥多","
职位描述：

岗位职责：
1、负责产品功能模块设计、编码实现和单元测试；?
2、按时按量完成编码任务，确保产品研发的进度和质量；
3、负责解决产品中存在的技术问题及定期做版本升级；
4、根据需求说明书和开发计划在规定时间内独立完成相应的开发任务；
5、优化系统性能， 保证系统质量和性能。
任职要求：
1、3年以上JAVA开发经验，精通JAVA/J2EE，对于用过的开源框架，能了解到它的原理和机制、，深入理解SpringMVC，SpringCloud、MyBatis等主流框架和技术的设计思想和实现方式；
2、有物流、TMS、WMS、金融、电商等方面开发工作经验；
3、熟悉MySQL、Oracle、等主流数据库系统的应用以及相关技术的开发，熟悉数据结构设计、sql性能调，熟悉分布式、缓存、消息等机制；
4、了解设计模式，熟练掌握linux，SOA架构体系；
5.工作认真负责，具有强烈的敬业精神，良好的沟通能力和团队协作精神，较强的自我学习意识；
6、有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，冗余度低；
7、符合如下条件者优先：
a. 有物流行业相关软件开发经验；
b. 大型互联网公司开发相关岗位工作经验；
c. 熟悉spring boot/cloud,熟练使用git；
d. 有处理高并发场景的开发经验。

",Java,15k-30k,3-5年
80,武汉佰钧成技术有限责任公司,2000人以上,西湖区,不需要融资,"五险一金,弹性上班,技术大咖多,工作环境好","
职位描述：

岗位要求
1、有3年以上Java开发经验， JAVA基础扎实； 有互联网行业背景优先。
2、对于用过的开源框架，能了解到它的原理和机制；对Spring,ibatis/mybatis,struts等开源框架熟悉；?
3、 掌握多线程及高性能的设计与编码及性能调优；?
4、 掌握Linux 操作系统和常用数据库，有sql优化经验；?
5、 良好的沟通技能，团队合作能力，勤奋好学。

工作地点1:西湖区黄龙时代广场?
工作地点2:西湖区云栖小镇
工作地点3:余杭区阿里西溪园区/海创园/海创大厦?

",Java开发工程师-西湖区,12k-24k,3-5年
81,浙江霖梓控股有限公司,150-500人,滨江区,B轮,"弹性工作,周末双休,五险一金","
职位描述：

岗位职责：
1.理解熟悉金融业务（消费信贷，支付交易、风控），参与相关业务系统设计与实现
2.系统缺陷的修复以及性能调优；
3.主导技术难题攻关，确保高性能处理和系统的稳定性：
岗位要求：
1. JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有深入的了解；
2. 五年以上Java开发经验，对技术有热情和追求；
3. 对于用过的开源框架，能深入到它的原理和机制；熟悉Spring,ibatis,struts等开源框架；
4. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；
5. 掌握多线程及高性能的设计与编码及性能调优；有一定的高并发应用开发经验，能够写shell 脚本，或者python 脚本，自动化运维；
6. 掌握Linux 操作系统和大型数据库（MySql）；对sql优化有丰富的经验；
7. 有良好的抽象设计能力和逻辑性，善于独立分析和解决问题；
8. 对 redis ，mongodb 数据库有一定的了解。
9. 学习能力强，适应能力好；具备耐心/细心的品质；
10.有良好团队合作精神，较强的责任性和抗压能力。
11.有第三方支付开发经验的优先，有会计清算系统开发经验的优先，具有金融行业系统应用架构工作经验者，熟悉行业业务模型和应用架构模型者，优先考虑；
12.有数据挖掘相关经验优先

",资深java开发工程师,18k-30k,5-10年
82,支付宝(杭州)信息技术有限公司,2000人以上,西湖区,B轮,期权鼓励、入职年假、带薪海外公差,"
职位描述：

WHAT?WE?DO1.??负责阿里巴巴业务全球化的集团战略，实现阿里出海的目标，我们提供海外支付能力。2.??解决全球多国20亿用户支付问题，为全球亿万商户提供支付解决方案，能付、好付、爽付、就想用你付！3.?建设支持多时区、多币种、多租户的平台体系（当然也是大规模分布式，支持高并发、亿级流量、多地部署，这些无需多语），并解决全球多地部署等重大课题。BETTER?YOU?HAVE1.?扎实的java编程基础，精通JavaEE、SOA、OSGI等相关技术；如果你对各种开源的框架如Spring、Hibernate等有深入的了解，那么就更好了。2.?如果你有三年以上大型数据库如oracle使用经验，3年以上大规模高并发访问的Web应用系统设计和开发经验，那就再好不过了。3.?除了上述以外如果你有较强的表达和沟通能力；工作认真、严谨、敬业，对系统质量有近乎苛刻的要求意识，那么请你快速到碗里来。4.?如果之前就是志同道合的小伙伴，具有过大型电子商务网站以及银行业核心系统、电信boss系统设计与研发经验背景，那么我们要的就是你。5.?虽然全球的地方你想去哪里就去哪里，但是你还是需要有个稳定的家，目前的base地：杭州，将陆续开放上海，成都，深圳，新加坡等地的职位需求。

",高级java开发工程师,20k-40k,3-5年
83,苏州融畅软件科技有限公司,50-150人,滨江区,未融资,"大平台,福利好,技术牛","
职位描述：


职位描述：
1.负责网站的技术架构设计,数据库结构设计,核心代码开发；
2.开发和维护统一的软件开发架构，发现和解决存在的技术问题；
3.从事核心部分分代码的编写、指导和培训工程师。
任职要求：
1.具备良好的沟通和表达能力；
2.至少2年以上JAVA网站的开发经验；
3.精通Java技术架构J2EE、J2SE，熟悉各种常用设计模式；
4.精通开发框架Struts2、Spring2/Hibernate，熟悉JSP/Servlet/JQuery等WEB开发技术；
5.精通MYSQL,熟悉MYSQL数据库设计与优化（存储过程，触发器，视图）；
6.熟悉Windows/Unix/Liunx开发环境，熟悉TOMCAT服务器。

",资深java开发工程师,25k-50k,5-10年
84,杭州尚尚签网络科技有限公司,150-500人,西湖区,C轮,开放自由、扁平管理 、C轮融资、Geek,"
职位描述：

职责：
1.参与基础服务的设计、开发工作，承担核心功能模块的编码工作，确保项目进度和质量。2.参与开发人员code review工作，并能提供性能优化、安全性建议。3.参与系统架构设计，接口规范制定、技术文档编写等。4.参与现有系统的优化改进。
?
要求：
1. 2年以上开发经验，JAVA基础扎实；2. 熟悉后台常见开发框架，如spring,springboot,mybatis等；3. 熟悉常用的数据库及其优化；熟悉常见缓存和nosql数据库，如：redis、memcached、mongodb等；4. 熟悉常用消息中间件，如：rabbitmq等；5. 热爱技术、对技术有不懈的追求，喜欢研究开源代码。


",高级Java开发工程师,15k-30k,3-5年
85,北京中电博亚科技有限公司,50-150人,西湖区,A轮,"薪资丰厚,福利健全,双休+年假,扁平管理","
职位描述：

岗位职责：
1、参与公司核心平台产品的开发、调试工作，撰写相关技术文档 ；2、负责系统框架和核心代码的实现；?3、参与制定设计及实现规范，软件部署工作；4、协助持续改进软件系统架构、核心技术模块等，使产品在高性能和高可用性方面发挥作用；
岗位要求：1、3年以上java开发经验（web方向）；
2、对java?主流框架如spring、mvc、mybatis能熟练使用，并能快速定位常见问题；
3、熟练使用和配置Tomcat应用服务器，了解Docker；
4、熟悉aop，多线程，反射等机制，并能在实际项目中熟练运用；
5、熟悉关系型数据基本原理，熟练掌握MySQL数据库开发技术；
6、熟悉Linux操作系统、git操作；
7、有强烈的责任心和团队精神，善于沟通和合作；
8、有大型系统的设计、开发经验优先。

",JAVA开发工程师,15k-30k,3-5年
86,杭州天翼智慧城市科技有限公司,150-500人,西湖区,不需要融资,"规范国企,周末双休,五险一金,团队和谐","
职位描述：

负责电子政务领域的项目开发和维护工作，参与需求调研和系统设计，撰写概要/详细设计文档、测试文档等，参与项目软件支撑、部署和运维工作。任职要求：
1、计算机或相关专业毕业，本科及以上学历，三年以上商用系统开发经验；2、熟练操作tomcat，Java编程，熟练使用Eclipse，熟悉Oracle数据库，熟悉Oracle常用SQL语言、了解数据库维护工作，了解.NET语言。3、做过数据采集、接口开发（如Webservice、socket、http访问、数据库接口、文件接口、XML解析）者优先；4、具有良好的沟通、团队协作、计划和创新的能力；5、能与用户直接沟通并明确需求，快速进行分析设计，制定技术解决方案；6、有为用户做项目技术支撑经验者优先；7、思维灵活、有政务类开发经验者优先；8、985、211、双一流大学毕业生优先。

",Java开发工程师,14k-20k,3-5年
87,浙江每日互动网络科技股份有限公司,150-500人,西湖区,D轮及以上,16-18薪 带薪年假 五险一金 生日Party 餐补,"
职位描述：

?
1）、有3年以上2EE系统开发经验，熟悉软件的开发、发布流程、最好有开发团队管理经验。
2）、熟悉J2EE体系架构、熟练掌握SpringMVC、mybatis等后端开发技术。
3）、熟练使用jboss、tomcat等中间件
4）、熟悉mysql或oracle数据库、能熟练使用SQL语言。
5）、有较强的需求理解能力和设计能力、能根据需求文档，可以独立完成需求理解、任务分解、并进行数据库设计和接口设计。
6）、具备较好的学习能力、问题分析能力，可以独立调试解决问题；
7）、具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；
8）、良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。
9）、工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；
10）、责任心强，正直诚实，值得信赖。
11）、有开发团队管理经验者优先。

",Java,12k-15k,1-3年
88,杭州有赞科技有限公司,500-2000人,西湖区,上市公司,"挑战大,氛围佳,前景好,待遇丰厚","
职位描述：

岗位职责
1. 作为团队核心开发，参与有赞基础业务平台需求讨论、业务领域建模、方案预研和确定、以及技术研发和上线工作；
2. 主持攻坚解决各种疑难杂症，系统优化，并完成整个团队业务相关产品的平台建设以及公共组件的沉淀；
3. 作为团队核心成员，参与规划系统架构以及平台的升级，带领团队拿到结果；
任职条件
1. 扎实的编程基础，精通Java开发语言，熟悉jvm、web、缓存、分布式架构、消息中间件等核心技术；
2. 深入了解Java EE相关的主流框架，并熟知它的原理及机制，如Spring、Mybatis等；
3. 深入了解Mysql数据库技术，对sql优化有一定的经验；
4. 具备良好的面向对象的设计能力，熟悉面向对象设计原则，掌握设计模式及应用场景；
5. 具备一定的问题分析和处理能力，处理问题思路清晰，沟通良好；
6. 热衷技术，有持续学习的意愿，有一定的动手能力，精益求精；
7. 对于有过高并发、高可用、高性能、稳定性保障、以及大数据处理实际项目经验者优先；
8. 有电商或相关行业经验优先，有技术博客、开源项目等加分；

",电商云平台-Java开发工程师,20k-40k,3-5年
89,杭州人能科技有限公司,少于15人,江干区,未融资,每年两次涨薪机会,"
职位描述：

岗位职责:
1.?参与有赞共享技术/微商城/赋能系统业务需求讨论、业务领域建模、方案预研和确定、以及技术研发和上线工作；
2.?参与或主持攻坚解决各种疑难杂症，系统优化，并完成整个团队业务相关产品的平台建设以及公共组件的沉淀；
3.?参与规划系统架构以及平台的升级。
?
任职要求:
1.?计算机相关专业本科或以上学历，两年以上Java开发经验；
2.?扎实的编程基础，精通Java开发语言，熟悉jvm、web、缓存、分布式架构、消息中间件等核心技术；
3.?深入了解Java?EE相关的主流框架，并熟知它的原理及机制，如Spring、Mybatis等；
4.?深入了解Mysql数据库技术，对sql优化有一定的经验。

",Java开发工程师,15k-30k,1-3年
90,绿漫科技有限公司,50-150人,西湖区,不需要融资,13薪+年终奖 快速发展团队 技术追求,"
职位描述：

职责/任务：
1、 参与公司核心平台产品的开发、调试工作，撰写相关技术文档 ；
2、 搭建系统开发环境，负责系统框架和核心代码的实现；?
3、 参与制定设计及实现规范，软件部署工作；
4、 协助持续改进软件系统架构、核心算法或者核心技术模块等，使产品在高性能和高可用性方面发挥作用；
?
岗位要求：
1、 计算机专业，3-5年以上大型软件项目开发工作经验；
2、 具有丰富J2EE架构设计经验；精通java编程、设计模式和组件技术，熟悉关系型数据库，精通通讯协议和面向对象编程思想；
3、 精通SQL语言，熟练使用MySQL；
4、 具备良好的文档编制习惯和代码书写规范；
5、 至少在2个项目中应用过常见的开源组件Struts，Spring，Hibernate, mybatis等其中之一，深入了解主流开发技术和开源开发框架；
7、思路清晰，善于思考，能独立分析和解决问题；
8、善于沟通、责任心强、能快速进入工作状态，具良好的团队合作精神，工作认真、细致、负责，并能在一定压力下完成工作；
9、有移动互联网成功产品开发经验者优先考虑。
?

",JAVA开发,10k-18k,3-5年
91,浙江科进英华信息技术有限公司,15-50人,萧山区,不需要融资,"清华合作,福利优厚,行业前景","
职位描述：

岗位职责：
1、带领JAVA小组完成项目的业务功能设计、重要功能流程的开发、数据模型设计
2、负责项目的详细功能设计、研发、质量控制；
3、解决小组人员在开发过程中出现的技术疑难问题；
4、有较深厚的底层框架经验，协助团队负责人做核心组件以及功能开发 ；
5、承担核心框架，组件，功能以及核心交互API的开发；
任职要求：
1、本科以上学历，5年以上开发经验；
2、熟练掌握Java并了解JVM相关原理；
3、熟悉主流应用服务器，熟悉常见开发架构及其原理。
4、能够独立分析并解决软件开发过程中的问题；
5、具备较好的沟通能力和团队协作能力；
6、有安监、交通、公共安全等行业开发经验者优先。

",高级Java工程师,20k-25k,5-10年
92,浙江聚励云机械科技有限公司,150-500人,余杭区,B轮,"五险一金,弹性上班,周末双休","
职位描述：

岗位职责：
1. 需求分析、系统设计工作，完成系统需求分析、设计说明书编写；
2. 负责按照要求完成各类设计文档，并参与开发。
3. 使用JAVA与数据库语言进行项目开发、测试。
岗位要求：
1、5年以上工作经验，计算机相关专业，本科以上学历。
2、热爱技术，对编程有浓厚的兴趣。
3、有一定的软件分析设计能力；熟悉Java、Servlet、JSP、EJB等开发技术；熟练使用Eclipse或jbuilder等java开发工具；
4、熟悉JAVA+STRUTS体系结构和开发工具；熟悉至少一种数据库的开发和设计；
5、具有良好的学习能力，具有强烈的工作责任心、有良好的沟通能力和团队合作精神。

",高级java开发工程师,15k-30k,5-10年
93,浙江每日互动网络科技股份有限公司,150-500人,西湖区,D轮及以上,16-18薪 带薪年假 五险一金 生日Party 餐补,"
职位描述：

工作职责：
1、根据业务需求进行个推业务系统开发，处理业务系统问题
2、设计和研发数据分析系统，实现大量数据并发处理系统。
3、进行相关开源技术方案的调研，构建高可靠性的系统。
?
任职资格：
1、至少2年以上工作和实际项目经验，本科学历
2、对各种开源的框架如Spring、ibatis等有了解，对框架本身有过开发或重构者可优先考虑；
3、熟悉多线程编程，有大数据数据库经验。有hadoop应用经验者优先考虑；
4、熟练掌握SQL，能够独立搭建并使用MySQL数据库，能够进行SQL语句的优化；
5、熟悉JavaScript、jQuery、CSS、XML、HTML5、AJAX、WebService等前端开发技术；
6、良好的个人沟通能力。

",Java,12k-15k,1-3年
94,杭州优行科技有限公司,500-2000人,滨江区,未融资,"行业新颖,氛围融洽,福利丰富,弹性工作时","
职位描述：

岗位描述：
1、参与项目的需求分析；
2、负责软件的详细设计和开发；
3、负责已有系统的性能优化、维护升级，满足业务需求；
4、完成技术leader分配的业务研发工作。

岗位要求:
1、计算机相关专业，大学本科或以上学历；?
2、三年以上J2EE B/S系统或大型门户网站设计开发经验，并具备一定的高访问量、高负载网站系统开发经验；?
3、精通JAVA技术，了解设计模式，对面向对象和模块化设计有深刻的理解；?
4、精通Spring、Mybatis等开源框架，熟悉git等项目管理、构建工具，至少一年实际项目使用经验；?
5、熟练使用linux、mysql，tomcat，在网络io、集合、并发／多线程、缓存、设计模式某方面有深刻理解；?
6、有分布式系统开发经验，熟悉分布式服务化框架；?
7、较强的组织协调能力和良好的语言及书面表达能力；?
8、工作作风严谨，具有良好的学习能力、沟通和协调能力；?
9、能承受工作压力，富有良好的团队精神和积极的进取心；?
10、有大型互联网公司工作经历和移动后端开发经验者优先。

",高级Java工程师-业务研发,15k-30k,3-5年
95,浙江华坤道威数据科技有限公司,150-500人,西湖区,不需要融资,"大数据项目,五险一金,年底多薪,超长年假","
职位描述：

工作职责：
1、在大数据部门参与大数据平台的设计与开发；
2、编写负责模块的相关设计、维护文档；
3、改进现有模块功能，提高系统的健壮性，稳定性以及性能。

任职要求：
1、3年以上研发工作经验，熟悉软件研发流程，深刻理解面向对象，熟悉各种常用设计模式；
2、精通JAVA编程，以及JSP、Servlet 相关技术，精通Spring等框架；
3、熟悉MySql数据库的应用开发与管理；
4、熟悉常用的NoSql产品，如MongoDB，Redis，Memcache；
5、有过大数据基础平台设计和开发经验优先；
6、责任心强，具有良好的团队合作精神，能承受较大的工作压力。

",java工程师,11k-22k,3-5年
96,杭州店家科技有限公司,50-150人,余杭区,A轮,"带薪年假,各种补贴,双休","
职位描述：

1、参与系统分析，主导详细设计，负责核心业务与底层基础功能的功能设计、代码实现与单元测试；
2、完成团队 Code Review，确保代码有效和正确，并能通过 Code Review 提供性能及稳定性建议；
3、参与讨论与设计通用、灵活、智能的业务支撑平台，支撑上层多场景的复杂业务；
4、独立负责一条业务线的研发、推进；

",Java开发,15k-23k,3-5年
97,安徽百得思维信息科技有限公司,500-2000人,滨江区,未融资,"五险一金,周末双休,技术平台,优秀团队","
职位描述：

1.计算机相关专业本科及以上学历,3年以上Java开发经验；
2.有大型数据库(ORALCE/MYSQL等)开发经验，有较强的SQL编程能力；?
3. 精通JAVA编程，了解JAVA的常规框架
4.熟悉TCP/IP协议、HTTP协议；
5.有物流、金融行业项目背景者优先；?
6.良好的沟通理解能力，态度踏实，积极上进，能适应出差；

",Java开发（滨江区）,10k-18k,3-5年
98,浙江聚有财金融服务外包有限公司,150-500人,上城区,未融资,工作环境、福利待遇优,"
职位描述：

岗位职责：
?
1、参与业务平台各业务线的设计，代码开发，系统稳定性评估，性能优化等相关工作；
2、参与技术难题攻关，持续提升核心系统在高并发、海量请求数下的高处理性能； 
3、核心功能的架构与代码模板编写，开发与维护系统公用核心模块。
?
任职要求：
?
1、3年以上java软件开发经验，精通Java语言，熟悉软件开发流程，熟悉常用项目构建及管理工具，如Maven、Git等；
2、深刻理解面向对象思想，熟悉常用的设计模式及领域建模； 
3、熟悉MySQL及其相关特性，了解SQL性能优化相关内容；
4、熟悉开源框架Spring、mybatis并有较深入的了解，对框架本身有过开发或重构者优先； 
5、熟悉分布式系统的设计和应用，了解分布式、缓存、消息、异步等机制和实现； 
6、良好的沟通能力、团队协作精神及专研精神。
7、有微信、支付宝支付相关开发经验者优先。

",高级JAVA开发工程师,10k-20k,3-5年
99,浙江菜鸟供应链管理有限公司,2000人以上,余杭区,B轮,福利待遇优厚，前景广阔,,Java开发工程师,25K-40K,3-5年
100,浙江远传信息技术股份有限公司,500-2000人,滨江区,上市公司,"五险一金,餐补,年终奖金,定期体检","
职位描述：

工作职责：
1、参与机器人系统管理平台项目的需求分析、概要设计、详细设计，技术文档的编写；
2、负责开发框架的搭建、改进；
3、指导软件工程师的日常开发工作，解决开发中的技术问题；
4、协助完成项目的测试、系统交付工作，对项目实施提供支持。
5、负责跟进服务器安全、稳定、维护和性能优化等工作。
岗位要求：
1、至少4年以上Java互联网开发经验；?
2、精通java,对spring、Spring MVC、MyBatis、Hibernate了解其原理和实现机制，具有WebService和dubbo等相关框架开发经验优先；?
3、精通SQL，熟练使用MySQL、Oracle等数据库，并具有一定的SQL优化能力；熟悉Memcached、Redis、MongoDB等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先；熟悉ActiveMQ消息队列的使用；
4、熟悉JQuery、Ajax等前段框架技术；
5、熟练掌握JSP、HTML、CSS等相关技术；
6、熟悉Tomcat等应用服务器的部署和配置；
7、熟悉Linux操作系统常用命令。

",高级java开发工程师,12k-18k,5-10年
101,浙江力太科技有限公司,150-500人,滨江区,C轮,"五险一金,双休,弹性工作,大牛如云","
职位描述：

岗位职责：
1、参与项目系统设计，完成软件项目的程序开发工作；
2、负责产品需求分析、设计和文档编写；
3、根据产品需求和设计进行软件开发；
4、完成直接上级交办的其他工作任务。
5、有ERP，MES、工业物联网经验优先
?
岗位要求：
1.3年以上Java项目开发经验；
2.熟练使用Javascript, Jquery, springboot;
3.熟悉主流数据，熟悉掌握Python语言；
4.学习能力强，沟通能力强，有愿意成为技术达人的强烈欲望

",Java工程师,10k-20k,3-5年
102,浙江子不语电子商务有限公司,500-2000人,余杭区,未融资,"弹性工作,交通便利,带薪年假,更多福利","
职位描述：

岗位职责：
1.参与ERP和B2C系统后端架构设计和核心模块开发
2.协助中级工程师和初级工程师，代码走查，保证项目进度和质量
3.负责相关技术文档编写，接口制定；
4.深入理解产品需求和业务，能针对性对各业务做出快速准确的技术决策；
5.解决项目开发过程中的技术难题。
任职要求：
1、本科（理工科）及以上学历； 5年以上Java开发工作经验；
2、精通基于Spring boot、Spring Cloud的微服务架构。
3、熟悉redis、rabbitmq、MariaDB、mongodb、elasticsearch等技术。
4、具备面向对象的设计思维，熟悉设计模式和算法，熟悉或精通Spring/Mybatis等常用框架，熟悉RESTFul接口设计；
5、具有独立完成项目的开发实施工作的经验，熟悉项目开发流程，具有较强的文档能力，能够编制各个阶段的项目文档；
6、熟悉Maven，Git等相关管理开发工具，熟悉Linux系统，熟悉主流应用服务器；
7、有移动互联网项目、大型网站项目、大型企业内部管理系统开发经验者优先；
8、高度的工作责任感，优秀的执行力，组织协调能力强；
9、熟悉docker、mesos、rancher等容器技术并有实际使用经验优先。
10.有ERP和B2C电商高并发，高性能系统开发经验者优先。

",JAVA高级工程师,25k-35k,5-10年
103,杭州万家乐网络科技有限公司,150-500人,西湖区,不需要融资,"五险一金,员工旅游,年底奖金,弹性工作","
职位描述：

岗位职责：
1、负责大规模分布式系统的设计，构建及核心代码开发，维护现有技术框架?
2、为各业务线开发人员提供必要的培训和技术指导???
3、配合部门负责人完成新技术的研究探索和技术积累
4、制定统一开发规范

任职要求：
1、具有5年以上JAVA/J2EE的大型系统开发经验；???
2、有大型分布式、高并发、高负载、高可用系统架构、设计、开发和调优经验；???
3、精通JAVA主流开发框架（如：Spring、Mybatis、Hibernate等）???
4、精通各类高速缓存机制（如：Redis、memcache等）???
5、精通分布式系统和SOA治理相关技术和实施方案（如：RMI、ESB、dubbo、zookeeper等）???
6、深入了解nosql体系（如：MongoDB、Cassandra、HBase等）???
7、有互联网平台或金融系统设计开发经验优先。??? 

",高级Java开发工程师,20k-35k,5-10年
104,武汉佰钧成技术有限责任公司,2000人以上,西湖区,不需要融资,"五险一金,周末双休,节日福利,带薪年假","
职位描述：

目前我们在杭州招募多名Java开发人员(包含架构师，项目经理等)。项目类型包括：物联网，云计算，安全产品，互联网金融等行业领域。

岗位通用要求：
1、3年以上使用Java开发的经验， JAVA基础扎实；?
2、对于用过的开源框架，能了解到它的原理和机制；对Spring,ibatis/mybatis,struts等开源框架熟悉；?
3、 掌握多线程及高性能的设计与编码及性能调优，有分布式系统经验；?
4、 掌握Linux 操作系统和常用数据库，有sql优化经验；?
5、 良好的沟通技能，团队合作能力，勤奋好学；?
6、担任项目核心开发，有项目管理或团队管理经验，能独立对接产品或项目经理完成项目开发和交付。

因每个组需求人员能力有区别，但Java基础，学习能力，沟通和问题解决能力是基础要求。关于工作年限，我们目前需要一些具备核心开发，项目管理，团队管理的人员，年限相对要求希望是5年以上或具备相当的经历和能力；开发人员目前暂不限定年限，如果您有一年以上经验，且所经历的项目和技术比较匹配，我们也愿意考虑。
如果您有良好的英文读写水平和P2P项目背景，我们还有国际项目等您加入。

工作地点：
余杭区工作地点主要位于:乐佳国际，海创大厦，西溪园区
西湖区工作地点主要位于:黄龙国际，云栖小镇
滨江区工作地点主要位于:网商路
工作时间：周一至周五，朝九晚六，弹性半小时。
薪酬:根据最终面试而定。
其他：五险一金，节日礼品，带薪年假，趣味团建活动，大型季度或年度活动，工作环境舒适整洁等。

",Java工程师,10k-20k,不限
105,浙江聚励云机械科技有限公司,150-500人,余杭区,B轮,"老板nic,福利齐全,员工旅游","
职位描述：

岗位职责：1.从事公司硬件产品端的需求分析、设计、开发以及测试；2.独立完成所负责模块的设计、开发、测试，并与系统其它模块对接；3.编写系统开发文档、技术手册；4.系统高并发数据收集；对系统进行修复、性能优化等改进；5.负责对系统模块进行产品化封装。6.对硬件数据进行去噪，过滤。完成大数据分析，数据挖掘。任职要求：1、3年以上Java开发经验，擅长物联网通讯和协议开发，有至少2个以上采集通信方面的物联网项目开发经验；2、熟知常用的物联网协议编程，例如基于TCP/UDP的私有通讯协议的处理，或基于标准NB-Iot/CoAP/MQTT/ZIGBEE/Lorawan/DLMS的开发。3、Java基础扎实，具有良好的代码风格，精通J2EE,熟悉restAPI及JS脚本开发；有编写json/xml等数据交换格式接口经验4、熟悉有Netty Java NIO开发，对网络编程，多线程熟练;5、熟悉 Webwork/Struts2、Spring/SpringBoot/SpringMVC、Hibernate/Mybatis 等开源框架，并有相关的项目开发和管理经验6、熟练掌握 ORACLE/MySql 数据库及相关技术；7、熟悉 redis、rocketmq等中间件的使用;8、熟练掌握 eclipse、 IntelliJ IDEA 等 Java 开发工具；9、熟练linux下服务器环境部署;10、熟悉软件开发过程，具有良好的编程习惯；； ??11、强烈的责任心和团队合作能力，性格开朗，善于沟通，良好的学习能力，逻辑思维能力并且敢于创新和接受挑战。

",Java开发工程师,8k-15k,1-3年
106,浙江每日互动网络科技股份有限公司,150-500人,西湖区,D轮及以上,16-18薪 互联网独角兽,"
职位描述：

职位诱惑：
16-18薪 带薪年假 五险一金 生日Party 餐补
职位描述：
?1）、有3年以上2EE系统开发经验，熟悉软件的开发、发布流程、最好有开发团队管理经验。2）、熟悉J2EE体系架构、熟练掌握SpringMVC、mybatis等后端开发技术。3）、熟练使用redis4）、熟悉mysql或oracle数据库、能熟练使用SQL语言。5）、有较强的需求理解能力和设计能力、能根据需求文档，可以独立完成需求理解、任务分解、并进行数据库设计和接口设计。6）、具备较好的学习能力、问题分析能力，可以独立调试解决问题；7）、具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；8）、良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。9）、工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；10）、责任心强，正直诚实，值得信赖

",JAVA研发（新）,12k-20k,1-3年
107,北京奇艺世纪科技有限公司,2000人以上,西湖区,上市公司,大平台,"
职位描述：

本岗位为支付宝岗位，非爱奇艺职位！1、 理解商户业务，识别需求，参与蚂蚁商户运营平台、商户 CRM、小二运营平台的建设；?2、 参与系统架构设计和优化，独立完成系统分析文档的撰写；?3、 沉淀有价值的商户数据资产，以数据化的方式联通商户、平台与消费者，打造一站式商户服务体系。?职位描述?1、Java 基础扎实：熟悉 IO、多线程、集合操作等基础技能；熟悉分布式、缓存、消息队列等中间件技术；熟悉 mysql 数据库的基本操作；?2、对 J2EE 有较清晰的认识，熟悉主流 Java Web 框架，熟悉各种常用设计模式；?3、熟悉 maven 项目配置管理工具，熟练使用 tomcat 或 jboss 等应用服务器；有高并发、大数据的实践经验者从优；?4、具备一定的领域建模能力，参与过完整的应用系统研发；?5、拥有前端研发经验或者移动端研发经验者的优先考虑；?6、有较强的学习和沟通能力，良好的团队协作精神，极强的责任心，工作踏实、勤恳，有钻研精神。

",【支付宝】高级Java开发工程师,30k-45k,5-10年
