,companyFullName,companySize,district,financeStage,positionAdvantage,position_detail,position_name,salary,workYear
10,杭州云若网络科技有限公司,50-150人,余杭区,B轮,阿里系，GEEK文化，高速成长,"
职位描述：

岗位职责：?
1.负责APP服务端以及底层服务的研发，及时解决项目涉及到的技术问题；
2.参与系统需求分析与设计，负责完成核心代码编写，接口规范制定，参与架构设计；?

任职要求:
1.3年及以上java开发经验，有独立开发项目经验者，具有一定的抽象设计分析能力，有良好的团队合作精神;
2.扎实的java基础，熟练运用SpringMVC、Spring boot、iBATIS等WEB框架，熟悉spring boot自动化配置原理及编写过自动化配置，Maven、SVN、GIT等版本控制工具，有源代码阅读经验者优先;
3.熟悉常用的设计模式，有SOA架构设计经验者优先;
4.有大型分布式系统开发及设计经验或参与过大中型项目的开发或重构工作者优先；
5.熟悉 MySQL 数据库、RPC中间件、消息队列等分布式技术；?
6.有支付交易等电商系统研发经验者优先；
7.对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。

",java,15k-25k,3-5年
11,杭州财米科技有限公司,500-2000人,西湖区,D轮及以上,弹性工作，六险一金，晋升空间，带薪年假,"
职位描述：

岗位职责负责业务系统核心模块的设计和开发实现指导初级程序员工作，并负责Code Review任职要求1、四年以上互联网行业Java及Web应用开发相关经验，扎实的基础知识，熟悉J2EE设计模式；2、深入了解Spring,ibatis,struts2等框架（框架提供的特性及其实现原理）； 3、熟悉分布式. 多线程及高性能的设计与编码及性能调优； 4、熟悉Internet基本协议（如TCP/IP. ? HTTP等）内容及相关应用；5、至少熟练掌握oracle、mysql当中的一种关系型数据库，能进行sql调优；6、有很强的分析问题和解决问题的能力，有强烈的责任心； 6、大规模高并发访问的Web应用。

",高级Java开发工程师（wodlee）-杭州-00591,15k-25k,3-5年
12,连连银通电子支付有限公司,500-2000人,滨江区,不需要融资,扁平化管理,,Java开发工程师,10k-15k,不限
13,瞬联软件科技（北京）有限公司,500-2000人,西湖区,不需要融资,六险一金 双休 国家节假日 带薪年假 体检,,Java开发工程师,10k-20k,3-5年
14,浙江蜂泰科技有限公司,150-500人,滨江区,不需要融资,大牛云集 发展广阔 氛围轻松 福利全面,"
职位描述：

职位描述： 
1.大学专科或以上学历，计算机相关专业，两年以上使用Java进行网站开发的经验；?
2.精通Java及Web的开发和应用，精通Servlet，熟悉Nginx/Tomcat/等服务器；?
3.对面向对象和J2EE有较清晰的认识，熟悉主流Java Web框架，熟练UML开发文档制作，熟练spring面向接口开发思想，熟练MVC分层开发思想，熟悉各种常用设计模式；?
4.熟悉Unix/Linux操作系统和开发环境；?
5.具有MySQL/Oracle等数据库应用开发经验，熟练MyBatis/Hibernate（没具体要求）等ORM框架，具备数据库应用系统的规划及设计能力；?
6.有较强的学习和沟通能力，良好的团队协作精神，极强的责任心，工作踏实、勤恳，有钻研精神；?
7.具有互联网应用开发或J2EE项目经验者优先。

",Java开发工程师,8k-16k,3-5年
15,杭州大搜车汽车服务有限公司,2000人以上,余杭区,D轮及以上,发展空间,"
职位描述：

【岗位职责】
1. 负责根据开发进度和任务分配，完成相应模块的开发任务，并在过程中解决关键问题和技术难题；????
2. 负责参与需求分析、设计，高质量完成开发任务，确保高性能处理和系统的稳定性；
3. 参与软件工程文档、产品文档的编写。

【任职要求】
1. 统招计算机或相关专业本科毕业，具有2～5年JAVA开发经验；
2. 熟悉Spring, Spring MVC, MyBatis等开源框架和其理念，熟悉常见的一些设计模式；
3. 熟悉Linux下的常用命令，熟悉Mysql，有较好的数据库表设计能力；
4. 熟悉Memcached、Redis、MQ等高性能并发中间件者优先；?
5. 熟悉J2EE系统架构，有丰富的Java Web项目开发经验，有大型项目开发经验者优先；
6. 具备良好的表达和沟通能力、具备团队合作精神，对工作热情，有一定的抗压能力，有责任心和独立分析能力。

",Java研发工程师 07-01-20,10k-15k,3-5年
16,杭州天谷信息科技有限公司,150-500人,西湖区,B轮,"框架层面,大牛聚集,团队逗比多,横向","
职位描述：

【主要岗位职责】?1.?基础组件及应用框架的设计研发2.?参与产品需求的讨论和梳理，撰写技术方案3.?项目相关功能代码编写，确保性能、质量、可扩展性和安全4.?负责产品代码以及相关文档的维护工作5.?线上系统问题排查及监控6.?指导及协助团队其它成员完成复杂开发任务【任职要求】?1.?三年以上的Java开发经验，对于Java基础技术体系（包括JVM、类装载机制、多线程并发、IO、网络）掌握和应用经验；?2.?熟悉分布式，缓存，异步消息等技术的原理，能运用分布式常用技术进行合理应用，解决业务问题；3.?掌握多线程及高性能的设计与编码及性能调优；有高并发，高可用应用开发经验优先；4.?熟练运用Spring、spring?boot相关技术，MyBatis等框架进行开发工作；5.?熟练使用Linux?操作系统和常见数据库，能对复杂SQL进行性能优化；6.?熟练运用?maven、git等工具，了解项目发布流程；7.?熟悉Redis,?MongoDB,?Memcached等非关系型存储的使用；有?es、hbase等经验者优先；8.?代码逻辑清晰、整洁，有一定的代码重构经验；9.?优秀的业务抽象能力，能够洞悉原始需求；优秀的设计能力和前瞻思维。10.?有良好团队合作及跨团队协调沟通能力，较强的责任心和抗压能力。11.?具有比较强的问题分析和处理能力，有比较优秀的动手能力，热衷技术，精益求精； ? ?

",基础架构-java,20k-40k,3-5年
17,点我达网络科技有限公司,500-2000人,下城区,D轮及以上,"团队氛围佳,D+轮,独角兽企业,弹性工作制","
职位描述：

1、负责订单中心技术团队相关项目的架构设计，保证架构的可持续性发展，并具备一定程度上对需求变更的应变能力；
2、负责需求实现过程中的设计与技术选型工作，并参与核心业务模块的开发工作；
3、不断创新、完善团队中使用到的中间件项目，能独立负责相应的中间件产品，并对其提供有效的技术支撑和维护工作；
4、对所负责模块的线上突发问题进行及时响应并解决；
5、持续对线上系统进行性能优化及稳定性提升。
任职要求：
1. Java基础扎实，并对计算机原理，网络原理有一定的了解；
2. 精通常用框架，可以熟练使用Spring及对其扩展或利用其来做一些架构设计；
3. 熟悉分布式开发场景，能提前考虑到分布式及高并发场景中的各种问题；
4. 对代码质量有极高的要求，对所承担的工作有责任感和主人翁意识；
5. 有良好的业务理解力和良好的沟通能力；
6. 有良好的大局观、统筹能力以及推进能力；
7. 热爱开源，希望你有参与过开源项目或为开源社区贡献过代码。

",Java开发工程师（订单中心）,17k-34k,3-5年
18,杭州有赞科技有限公司,500-2000人,西湖区,上市公司,技术牛逼,"
职位描述：

岗位职责
1. 为上游业务方提供技术产品，服务于上游业务方的复杂场景，包括：参与需求讨论、编写代码文档、业务模块开发、 设计和执行单元测试；
2. 进行Code Review， 及时解决Bug和故障， 解决和优化线上问题；
3. 管理自己工作的优先级，给上游业务方做技术培训。
岗位要求
1. 统招本科或以上学历, 软件工程或计算机相关专业；
2. 熟悉使用基本的数据结构和算法；
3. 熟悉JavaSDK/JVM/主流Java开源框架的原理；
4. 熟悉OOA/OOD/OOP, 熟练绘制UML；
5. 具备基础的分布式技能, 深刻理解并发理论和并行理论；
6. 熟悉SQL技能, 追求SQL高性能，有一定的Linux运维经验；
7. 有过互联网业务系统或相关技术产品开发经验；
8. 熟悉互联网常见技术产品, 熟练使用相关技术组件, 关注业内新的技术动态。

",Java开发工程师-底层技术方向-杭州-00020,16k-32k,3-5年
19,杭州铜板街互联网金融信息服务有限公司,150-500人,西湖区,B轮,期权，六险一金,"
职位描述：

工作职责：1、负责项目或系统的需求评审、未来规划、技术方案、架构设计等；2、解决各种疑难杂症，不断的系统重构与完善架构，提升系统性能；任职资格：任职资格：1、 Java基础扎实，熟悉IO、多线程、锁、集合类等等；2、 熟练使用Spring 、MVC等框架、熟悉 RPC、MQ 等分布式环境常用技术；3、 熟悉 Mysql/Oracle，对于数据库结构、SQL 优化有一定经验；4、 熟悉 Linux/UNIX 环境, 熟悉 Redis、Tomcat、Nginx 等.5、 对JVM原理有一定的了解；处理线上问题有一定经验；6、 对于使用过的技术、开源框架，能了解到它的原理和机制；7、 熟悉常用设计模式，有大型分布式、高并发、高负载、高可用性系统设计开发经验；8、 具有出色的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；9、 学习能力强，适应能力好；良好的团队合作精神和承受压力的能力；10、 拥有大型网站架构设计经验或大型系统重构经验者优先

",资深Java开发,15k-25k,3-5年
